question,answer_date,ministry,question_type,question_no,question_by,question_title,question_description,answer,id
164432.0,23.02.2011,HOME AFFAIRS,UNSTARRED,221.0,SHRI MAHENDRA MOHAN,TERRORIST ATTACK IN VARANASI .,"(a) whether the terrorists once again struck Varanasi in the month of December, 2010 and caused several casualties; (b) if so, the exact number of persons killed/injured due to terrorist attack at the bathing ghats on the banks of Ganges river in Varanasi; (c) the details of compensation paid by the Union Government/State Government to the affected persons; (d) whether the security nets at the important religious places in the country are not effective, resulting in attack by terrorists; and (e) if so, the steps Union Government proposes to take in this regard in future?","MINISTER OF STATE IN THE MINISTRY OF HOME AFFAIRS (SHRI GURUDAS KAMAT) (a) to (b) : Yes, Sir. A low intensity bomb explosion took place at Sheetla Ghat, Varanasi on 7.12.2010. Two persons died (one girl and one woman) and 42 were injured (37 civilians and 05 foreigners). (c) : There is no scheme to provide compensation to families of victims killed in bomb blast. However, a Central scheme for financial assistance to victims of terrorist/communal violence is in operation with effect from 1st April, 2008. The scheme has been extended to cover civilian victims of naxal violence with effect from 22.06.2009. Under this scheme, a sum of Rs. 3 lakhs is provided to the next kin of the civilians who are either killed or have become permanently incapacitated on the recommendation of the concerned DM/DC, State Government. The amount disbursed under the scheme in 2008 is Rs. 2.13 crores; Rs. 4.56 cores in 2009 and Rs. 4.41 crores during 2010-11. Independent of the Central Scheme, as per information, the State Government has given Rs. 1 lakh for next of kin of the dead, Rs. 50 thousand for seriously injured and Rs. 25 thousand for minor injury in the case of Varanasi blast victims. (d) & (e) : As the â<U+0080><U+0098>law and orderâ<U+0080><U+0099> is a State subject, and therefore, security of religious places etc. is the responsibility of the State Governments. The Government of India issues advisories to State Governments/UT administrations from time to time depending upon threat inputs received from Central Security Agencies. The State Governments have also been asked to play a proactive role to ensure foolproof security of religious places/places of pilgrimage/holy destinations to prevent any violent attack which has the potential to snowball into country-wide large scale break down of law and order on communal lines. The State Governments have also been requested to set up State Level Security Committees (SLSC) to draft and implement security plan, Standard Operating Procedures (SOPs) etc., for places of religious importance.",
164464.0,23.02.2011,HOME AFFAIRS,UNSTARRED,253.0,Smt. Kusum Rai,BOMB BLASTS .,"(a) the State-wise details of bomb blasts/terrorist attacks during last three years along with the number of persons died/injured; (b) the details of persons died/injured in Varanasi bomb blast during Ganga Aarti; (c) the details of compensation announced and paid to the kin/victims of bomb blast; (d) whether Central intelligence agencies had warned the State Government of Uttar Pradesh against such a terror threat; and (e) if so, the details thereof and the reasons of failure to check such brutal attack in Varanasi?","MINISTER OF STATE IN THE MINISTRY OF HOME AFFAIRS (SHRI GURUDAS KAMAT) (a) & (b): The details are given in Annexure. (c): There is no scheme to provide compensation to families of victims killed in bomb blast. However, a Central scheme for financial assistance to victims of terrorist/communal violence is in operation with effect from 1st April, 2008. The scheme has been extended to cover civilian victims of naxal violence with effect from 22.06.2009. Under this scheme, a sum of Rs. 3 lakhs is provided to the kin of the civilians who are either killed or have become permanently incapacitated on the recommendation of the concerned DM/DC, State Government. The amount disbursed under the scheme in 2008 in Rs. 2.13 crores; Rs. 4.56 crores in 2009 and Rs. 4.41 crores during 2010-11. Independent of the Central Scheme, as per information, the State government has given Rs. 1 lakh for dead, Rs. 50 thousand for seriously injured and Rs. 25 thousand for minor injury in the case of Varanasi blast victims. (d) & (e): Intelligence alerts were issued sensitizing U.P. Police about the plan of Indian Mujahideen/LeT to target religious congregation, busy markets, railway stations, shopping malls and palaces of entertainment. The Government has been pursuing a multi-pronged strategy to deal with terrorism and a variety of measures have been taken to strengthen the security arrangements in this context which, inter-alia, include augmenting the strength of Central Paramilitary Forces, amendment in the CISF Act, establishment of NSG hubs at Chennai, Kolkata, Hyderabad and Mumbai, security connectivity between Multi-Agency Centres and State Special Branches.",
164479.0,24.02.2011,EXTERNAL AFFAIRS,UNSTARRED,348.0,SHRI SHREEGOPAL VYAS,HINDUS IN PAKISTAN AND BANGLADESH,"(a) whether it is a fact that ill treatment with the Hindus is continuously taking place in Pakistan and Bangladesh ; (b) whether there exists any agreement with Bangladesh and Pakistan for the protection and prestige of minorities; and (c) if so, the details thereof and the steps taken during the last five years against non-adherence to such agreement?","THE MINISTER OF STATE IN THE MINISTRY OF EXTERNAL AFFAIRS (SHRI E. AHAMED) (a) to (c) Government has seen reports of unfair treatment to members of minority groups, including Hindus, residing in Pakistan and Bangladesh. It is the responsibility of the Governments of Pakistan and Bangladesh to discharge their obligations towards their citizens, including minorities. However, based on reports of persecution of minority groups in Pakistan, Government had taken up the matter with the Government of Pakistan. The Government of Pakistan stated that it was fully cognizant of the situation and looked after the welfare of all its citizens, particularly the minority community. The Government of Bangladesh has also assured us that it is committed to safeguarding minority rights. The Nehru-Liaqat Agreement, signed between India and Pakistan on April 8,1950 stipulates that â<U+0080><U+009C> Governments of India and Pakistan solemnly agree that each shall ensure, to the minorities through-out its territory, complete equality of citizenship, irrespective of religion, a full sense of security in respect of life, culture, property and personal honour, freedom of movement within each country and freedom of occupation, speech and worship, subject to law and moralityâ<U+0080>. In respect of migrants from East Bengal, West Bengal, Assam and Tripura, the two Governments agreed to ensure, inter alia, freedom of movement, protection in transit, freedom to remove movable personal effects, protect the right of ownership provided the migrants came back by 31.12.1950. Under paragraph â<U+0080><U+0098>Fâ<U+0080><U+0099> of the Agreement, Governments of India and Pakistan agreed to set up Minority Commissions, â<U+0080><U+009C>one for East Bengal, one for West Bengal and one for Assamâ<U+0080> to observe and report on the implementation of the Agreement and to advice on action to be taken on their recommendations. After the emergence of Bangladesh in 1971, those Commissions no longer exist. The Simla Agreement of 1972 between India and Pakistan specifically provides for non-interference in each otherâ<U+0080><U+0099>s internal affairs. While no separate agreement has been signed with Bangladesh to protect the life, property and dignity of minorities, the Government of Bangladesh continues to assure us of their commitment to safeguarding minority rights.",
164480.0,24.02.2011,EXTERNAL AFFAIRS,UNSTARRED,349.0,SHRI SHREEGOPAL VYAS,HINDU FAMILIES SEEKING ASYLUM,"(a) whether 27 Hindu families of Pakistan have sought asylum in India ; (b) if so, the reasons enumerated by them in this regard; and (c) the action taken by Government in this regard?","THE MINISTER OF STATE IN THE MINISTRY OF EXTERNAL AFFAIRS (SHRI E. AHAMED) (a) to (c) Government has seen media reports that 27 Hindu families from Balochistan province in Pakistan have sent their applications to the Indian High Commission in Islamabad for asylum. However, the High Commission has not received any such application for asylum. It is the responsibility of the Government of Pakistan to discharge its obligations towards its citizens, including those from the minority community.",
164500.0,24.02.2011,EXTERNAL AFFAIRS,UNSTARRED,369.0,Dr. T. Subbarami Reddy,HARASSMENT TO SIKHS IN USA,"(a) whether Indiaâ<U+0080><U+0099>s topmost diplomat Mr. Hardeep Puri, Ambassador to the United Nations was recently asked to remove his turban during an airport â<U+0080><U+0098>pat-downâ<U+0080><U+0099> search in the USA; (b) if so, whether the Indian Sikhs are being harassed by the various security agencies at airports in the United States; (c) if so, whether Government has taken up the matter with the US authorities at diplomatic levels; and (d) if so, the details of assurances made by the US authorities in this regard?","THE MINISTER OF STATE IN THE MINISTRY OF EXTERNAL AFFAIRS (SHRI E. AHAMED) (a) & (b) Government of India is aware that enhanced security procedures used at U.S. airports have on occasions affected the religious sentiments of Sikh travelers in the United States. (c) Government has also conveyed to the United States that while it respects the right of each country to institute necessary security procedures at their airports, it must respect the cultural and religious sensitivities of all travelers. (d) The U.S. Government has conveyed that it respects the sensitivities of people of all faiths and seeks to accommodate them in their screening procedures.",
164502.0,24.02.2011,EXTERNAL AFFAIRS,UNSTARRED,371.0,Shri Avinash Rai Khanna,INHUMAN TREATMENT OF HINDUS IN MALAYSIA,"(a) whether a large number of Hindus are residing in Malaysia; (b) whether Government is aware that Hindus have been getting inhuman treatment there; (c) whether Hindus have not been allowed to worship and they are not getting birth certificate, marriage certificate etc.; and (d) the steps Government is taking to protect the life, property and dignity of these people, the details thereof?","THE MINISTER OF STATE IN THE MINISTRY OF EXTERNAL AFFAIRS (SHRI E. AHAMED) (a) Malaysia has about 1,50,000 Indian citizens working in professional skilled and semi-skilled jobs in diverse sectors. Malaysia also has 2 million Persons of Indian Origin who account for about 8% of Malaysiaâ<U+0080><U+0099>s population. Though there is no accurate statistics on the precise number of Hindus, it would be reasonable to state that a large number of the Indian nationals and PIOs are Hindus. (b) No reports have been received that Indian citizens, who are mostly Hindus, are being inhumanely treated in Malaysia. (c) There are numerous Hindu places of worship through Malaysia and there is no restriction on Indian nationals to visit or offer prayers in these places of worship. The overwhelming number of Hindus residing in Malaysia is citizens of Malaysia and is well integrated into their system. Their rights as citizens of Malaysia, including the right to follow their religion, are derived from the Malaysian Constitution. (d) The Government of India remains deeply solicitous of the welfare of the PIOs living abroad. We have friendly relations with Malaysia and we remain in touch with the Malaysian authorities whenever there is some concern on the interest of PIOs living in Malaysia. [During Prime Minister Dr. Manmohan Singhâ<U+0080><U+0099>s visit to Malaysia in October 2010, the Prime Minister of Malaysia in an answer to a question relating to a â<U+0080><U+009C>sense of being left out and discrimination within Malaysian Indian communityâ<U+0080> stated that â<U+0080><U+009C>Like India, Malaysia is a multi-cultural, multi-ethnic community. It is democracy and respects the fundamental human rights of all its citizens and I am confident that Malaysian system has built-in flexibility to tackle any problems of the type you have mentioned. I have, therefore, no reason to be apprehensive on that account about the future of Indian origin community in this great countryâ<U+0080>.",
164616.0,25.02.2011,RAILWAYS,UNSTARRED,594.0,Shri Nand Kumar Sai,EXECUTION OF RAIL PROJECTS IN SRI LANKA BY INDIAN RAILWAYS .,"(a) the details of ongoing Sri Lankan railway project under execution by Indian Railways as on date; (b) whether the Lines of Credit has offered by Government of India for each of these projects; (c) if so, the details in this regard, project-wise; (d) the details of the targets fixed for completion of each of these projects; and (e) the details of the steps taken by the Indian Railways to complete such projects within the target?","MINISTER OF STATE IN THE MINISTRY OF RAILWAYS ( SHRI BHARATSINH SOLANKI ) (a) to (e): A statement is laid on the table of the Sabha. STATEMENT REFERRED TO IN REPLY TO PARTS (a) TO (e) OF UNSTARRED QUESTION NO.594 BY SHRI NAND KUMAR SAI TO BE ANSWERED IN RAJYA SABHA ON 25.02.2011 REGARDING EXECUTION OF RAIL PROJECTS IN SRI LANKA BY INDIAN RAILWAYS (a) &(d): M/s Ircon International Limited and M/s RITES Limited, two Public Sector Undertakings (PSUs) under the administrative control of Ministry of Railways are executing rail projects in Sri Lanka. The details of rail projects under execution by these PSUs are as under: 1. M/s Ircon International Limited S.No. Name of the project Target date for completion 1. Upgradation of Colombo â<U+0080><U+0093> Matara Coastal Railway line Phase II (Kalutara to Galle) March, 2012 2. M/s RITES Limited S.No. Name of the project Target date for completion 1 Supply of 20 DMU Train sets with spares August, 2012 2. Supply of Machinery & Plant for DMU maintenance March, 2011 3 Construction of Sheds and buildings for DMU maintenance February, 2012 4 HRD & Training of SLR personnel June, 2011 5. Supply of 3 Diesel Locomotives February, 2012 (b)&(c): Government of India has offered Lines of Credit for each of the following projects. The details of Lines of Credit offered by Government of India are as under: (i) Track laying on Omanthi â<U+0080><U+0093> Pallai Railway line - US$185.35 million (ii) Track laying on Madhu Church â<U+0080><U+0093> Thallaimannar Railway line - US$ 149.74 million. (iii) Track laying on Medawachchiya-Madhu Railway line - US$ 81.31 million. (iv) Upgradation of Southern Railway Corridor - US$167.4 million. (e) Indian Railways lends necessary support to the PSUs and the progress of activities undertaken is monitored under the laid down monitoring mechanism.",
164771.0,01.03.2011,ENVIRONMENT AND FORESTS,UNSTARRED,635.0,SHRI MANOHAR JOSHI,INCREASING PRODUCTIVITY OF FORESTS,"(a) whether Government has drawn up a plan to increase the productivity of forests by quality seeds: and (b) if so, the details thereof and the criteria to be adopted for making the quality seeds available to user agencies?","MINISTER OF STATE (INDEPENDENT CHARGE) FOR ENVIRONMENT & FORESTS (SHRI JAIRAM RAMESH): (a) The Forest Research Institute under ICFRE Dehra Dun,established Seedling Seed Orchards(SSOs), Clonal Seed Orchards(CSOs), Germplasm Banks and also identified Seed Production Areas( SPAs) of important tree species in various states.The State Forest Departments are expected to use the seeds from the SSOs, CSOs, SPAs and Germ Plasm Banks for their plantation programmes to increase the productivity of forests. (b) For increasing forest productivity, it is necessary to use reproductive material, which is genetically superior and phenotypically suited to the plantation site. The object of the certification of tree seed and plants (FRM) is to maintain and make available to various organisations including farmers, State Forest Departments etc. propagation materials of superior provenances and cultivars so grown and distributed so as to ensure the genetic identity and high quality of seed and plants. The elements of a comprehensive seed certification scheme for forest seed and plants are: (i) Inspection of the seed source by a qualified professional forester. (ii) Assessment of cone/fruit crop by a qualified professional forester before seed collection begins (iii) Collection of cones/fruits by a registered seed collector (iv) Testing of an adequate sample at an official seed-testing laboratory. (v) Sowing of seed in a registered nursery where labels and records satisfy minimum requirements. The minimum requirements for certification are previous history of the seed source, isolation from foreign pollen, field inspection of seed trees, adherence to specified standards for germination and purity, labels and certification and reference numbers for identifying origin of seed.",
164874.0,03.03.2011,EXTERNAL AFFAIRS,UNSTARRED,812.0,Shri Rajiv Pratap Rudy,UNDIPLOMATIC TREATMENT IN US .,"(a) whether it is a fact that several Indian diplomats have been subjected to undiplomatic treatment in the recent past in US; (b) if so, the details thereof; (c) the steps taken by Government to ensure that Indian diplomats receive the same respect as we impart to US diplomats in India; and (d) the privileges of US diplomats in India?","THE MINISTER OF STATE IN THE MINISTRY OF EXTERNAL AFFAIRS (SHRI E. AHAMED) (a) & (b) Government is aware that enhanced security procedures, inconsistent with diplomatic courtesies and privileges, were recently sought to be applied at US airports for India`s Ambassador to the United States and India`s Permanent Representative to the United Nations. (c) Indian diplomats are accorded privileges in the United States under the Vienna Convention on Diplomatic Relations. However, Government has conveyed to US Government that while it respects the right of each country to institute necessary security procedures at their airports, internationally recognised diplomatic courtesies and privileges, as well as the cultural and religious sensitivities of all travellers, must be respected. The US Government has expressed regret for these incidents and has conveyed that it will take steps to avoid similar incidents in the future. (d) Government accords diplomatic privileges to all foreign diplomats in accordance with the Vienna Convention on Diplomatic Relations.",
164930.0,03.03.2011,ROAD TRANSPORT & HIGH WAYS,UNSTARRED,876.0,MISS ANUSUIYA UIKEY,LAYING OF ROADS TO CONNECT RELIGIOUS AND TOURIST SITES,"(a) whether Government provides economic assistance to State for laying of roads to connect important religious and tourist sites and if so, the details thereof; (b) if so, the road-wise details of quantum of economic assistance provided to various States including Madhya Pradesh during the last three years; (c) whether State Government of Madhya Pradesh has sought economic assistance in this regard; and (d) if so, the details of action taken so far thereon?","THE MINISTER OF STATE IN THE MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (SHRI JITIN PRASADA) (a) The Union Government allocate funds for development of National Highways and such State roads (other than rural roads) as proposed by State Governments under the scheme of Central Road Fund (CRF). However, there is no exclusive scheme for providing funds for construction of roads to connect the religious and tourist places. (b) Does not arise. (c) No, Sir. (d) Does not arise.",
165043.0,04.03.2011,AGRICULTURE,UNSTARRED,966.0,SHRI A. ELAVARASAN,DISCOVERY OF NEW VARIETY OF PADDY .,"(a) whether discovery of a new variety of paddy named Rajarajan 1000 has proved to be a great success in Tamil Nadu, almost doubling the average yield; (b) whether the new method of cultivation was earlier known as system of rice intensification; (c) if so, the details thereof; (d) whether farmers received good yield of about 8 tonnes of paddy per hectare against 4 tonnes from other technique and also the yield comes about 15 days ahead of the usual period; and (e) if so, the steps taken by Government to adopt this new variety of paddy in other parts of the country to meet the growing demand?","MINISTER OF STATE IN THE MINISTRY OF AGRICULTURE AND MINISTER OF STATE IN THE MINISTRY OF FOOD PROCESSING INDUSTRIES (SHRI HARISH RAWAT) (a) â<U+0080><U+009C>Rajarajan 1000â<U+0080> is not a paddy variety, rather this is a system of paddy cultivation. In Tamil Nadu, this system of cultivation gives paddy yields between 6 t and 13 t per hectare as against an average yield of 4 t per hectare using conventional practices. However, this depends on several other factors such as variety of seed material, climate, soil type and source of irrigation. (b) & (c): Yes, Sir. This method of paddy cultivation was earlier known as System of Rice Intensification (SRI). On 26.09.2010, Honâ<U+0080><U+0099>ble Chief Minister of Tamil Nadu named this system as â<U+0080><U+009C>Rajarajan 1000â<U+0080> to commemorate 1000 years celebration of Tanjore Temple constructed by Chola King Rajarajan. Components of this technology are:- Adoption of 7.5 Kg seed rate per ha. Nursery area, 100 mÂ² for 1 ha. Seedling age, 14 to 16 days. Transplanting single seedling at 25 cm x 25 cm spacing. Four times mechanical weeding at 10, 20, 30 & 40 days after transplanting. Alternate wetting and drying up to panicle initiation stage. It is recommended to irrigate the field to 2.5 cm after the previously irrigated water disappears and hairline cracks develop. Nutrient application based on soil testing. (d) Farmers are getting increased yields under this system as compared to the conventional system. Nearly 30 percent of total System of Rice Intensification farmers are getting on an average yield of 8 tonnes per ha. Against 4 tonnes under normal system. There is no evidence about early maturity of paddy in this System of Rice Intensification. (e) Government is providing subsidy to the farmers for organizing System of Rice Intensification demonstrations. The system is gaining popularity in several states of the country particularly Andhra Pradesh and Tripura.",
165055.0,04.03.2011,RAILWAYS,STARRED,134.0,Shri Mohammed Adeeb,MODEL RAILWAY STATIONS .,"(a) the details of model railway stations in Uttar Pradesh, zone-wise; (b) whether it is a fact that North-Eastern Railway is being neglected in the matter of model stations; and (c) the steps being taken to declare more railway stations in North-Eastern Railway as model stations?","MINISTER OF RAILWAYS ( KUMARI MAMATA BANERJEE ) (a) to (c): A Statement is laid on the Table of the Sabha. STATEMENT REFERRED TO IN REPLY TO PARTS (a) TO (c) OF STARRED QUESTION NO.134 BY SHRI MOHAMMED ADEEB TO BE ANSWERED IN RAJYA SABHA ON 04.03.2011 REGARDING MODEL RAILWAY STATIONS. (a): The model station scheme was in vogue between June, 1999 and November, 2008. A list indicating zone-wise details of the eighty two model railway stations in Uttar Pradesh notified in this period is attached at Appendix-I. The concept of Adarsh Stations has since been introduced in place of Model Station and the thirty five stations of Uttar Pradesh, notified as Adarsh Stations in 2009-10 and 2010-11, are listed at Appendix-II. (b): No, Sir. (c): Does not arise. APPENDIX-I REFERRED TO IN REPLY TO PART (a) OF STARRED QUESTION NO. 134 BY SHRI MOHAMMED ADEEB TO BE ANSWERED IN RAJYA SABHA ON 04.03.2011 REGARDING MODEL RAILWAY STATIONS. Zone-wise details of 82 model railway stations in Uttar Pradesh is as under: Railway Name of the stations East Central (3) Mughalsarai, Renukot and Chopan. Northern (32) Ayodhya, Bareilly, Baraut, Baghpat Road, Faizabad, Garhmukteshwar, Ghaziabad,Lucknow, Meerut City, Moradabad, Prayag, Rae-Bareli Jn., Saharanpur, Varanasi, Meerut Cantt., Jaunpur, Pratapgarh, Sultanpur, Bhadohi, Akbarpur, Shahjahanpur, Muzaffarnagar, Barabanki, Shahganj, Unnao, Janghai, Najibabad, Rampur, Hardoi, Hapur, Chandausi and Deoband. North Central (18) Agra Cantt, Agra Fort, Aligarh, Allahabad, Etawah, Jhansi, Kanpur Central, Mathura Jn., Tundla, Mirzapur, Banda, Raja Ki Mandi, Fatehpur, Firozabad, Naini, Chitrakut Dham Karvi, Lalitpur and Orai. North Eastern (29) Badshah Nagar, Ballia, Basti, Deoria Sadar, Gonda Jn., Gorakhpur, Izzatnagar Jn., Katra, Lucknow, Mau Jn., Manduadih, Pilibhit, Rawatpur, Lucknow City, Allahabad City, Azamgarh, Bahraich, Barhani, Belthra Road, Bhatni Jn., Farrukhabad, Ghazipur City, Kasganj, Khalilabad, Lakhimpur, Salempur, Sitapur, Varanasi City and Kaimganj. APPENDIX-II REFERRED TO IN REPLY TO PART (a) OF STARRED QUESTION NO. 134 BY SHRI MOHAMMED ADEEB TO BE ANSWERED IN RAJYA SABHA ON 04.03.2011 REGARDING MODEL RAILWAY STATIONS. Zone-wise details of 35 railway stations in Uttar Pradesh notified as Adarsh Stations in 2009-10 and 2010-11 is as under: Railway Name of Stations East Central (2) Chandauli Majhwar and Mughalasarai. Northern (10) Amethi, Barabanki, Chandausi Jn., Hardoi, Meerut Cantt., Partap Garh Jn., Partapur, Prayag, Sandila and Sultanpur. North Central (13) Aligarh,Atarra, Banda, Dapsaura, Firozabad, Kalpi, Lalitpur, Mirzapur, Moth, Orai, Pokhrayan, Shikohabad Jn. and Tundla. North Eastern (10) Azamgarh, Ballia, Balrampur, Basti, Gonda Jn., Mau Jn., Naugarh (Siddharth Nagar), Pilibhit Jn., Salempur Jn. and Sitapur.",
165085.0,04.03.2011,HUMAN RESOURCE DEVELOPMENT,UNSTARRED,1034.0,Shri Ram Kripal Yadav,SPECIAL FOCUS DISTRICTS OF SSA,"(a) whether it is a fact that Government has identified 314 special focus districts for effective implementation of Sarva Shiksha Abhiyan (SSA) all over the country; (b) if so, the number of districts identified in Bihar; (c) the details of criteria followed for identifying such districts; (d) the action taken for those 314 districts so far and how much expenditure has been incurred; and (e) the details thereof?","MINISTER OF STATE IN THE MINISTRY OF HUMAN RESOURCE DEVELOPMENT (SMT. D. PURANDESWARI) (a) to (c): The Department of School Education and Literacy identifies Special Focus Districts (SFD) under Sarva Shiksha Abhiyan (SSA) on the basis of (i) Infrastructure category gaps, viz., districts with a primary school to upper primary school ratio exceeding 3:1, and classroom gap exceeding 3000 classrooms, (ii) Programme category gaps, viz., districts with large number of out-of-school children, gender gap in enrollment exceeding 10% at primary and 20% at upper primary level, and retention rate lower than 60%, and (iii) Social category gaps, viz., districts with more than 25% Scheduled Caste or Scheduled Tribe population, 20% Muslim minority population, as well as districts affected by Left Wing Extremism and Border Area Districts. Several districts are classified as SFD under more than one of the above categories. For example, Patna (Rural) district is classified as SFD under Infrastructure category gap and Programme category gap. Purnea district is classified as SFD under Infrastructure category, Programme category as well as Social category. The number of SFDs changes from year to year. In Bihar, 36 SFDs have been identified as per the details attached in Annexure. (d) & (e) SFDs get higher outlays under SSA, including 50% of approved outlay for civil works. SFDs are also given priority for sanctioning teacher posts and training of untrained teachers. During 2010-11, an amount of Rs. 26,760.47 lakh was allocated for various activities under SSA for 413 SFDs in the country.",
165088.0,04.03.2011,HUMAN RESOURCE DEVELOPMENT,UNSTARRED,1037.0,SHRI B.S. GNANADESIKAN,INDIRA GANDHI SCHOLARSHIP SCHEME FOR SINGLE GIRL CHILD,"(a) whether the number of scholarships provided by Government during last year for single girl child for pursuing higher and technical education under Indira Gandhi Scholarship Scheme for single girl child is very meagre; (b) whether very few States and beneficiaries have been covered under this programme and whether Government would consider to expand the scheme; and (c) if so, the details thereof and the details of steps taken by Government to increase the purview of benefits to all States and all areas?","MINISTER OF STATE IN THE MINISTRY OF HUMAN RESOURCE DEVELOPMENT (DR. D. PURANDESWARI) (a) to (c): According to information furnished by the University Grants Commission (UGC), the selection under the scheme is made on the basis of the recommendations of an Expert Committee irrespective of any criteria of disability, income, caste, religion, State etc. for pursuing non- professional Post-Graduate degree courses. Though the slots available under the scheme are 1200 per year, the UGC is sanctioning scholarship to all eligible candidates whose applications are received by UGC. 1538 applications were received by UGC for the year 2009-10, which were complete in all respects. All applications were considered and scholarships were sanctioned. The details are at Annexure.",
165093.0,04.03.2011,HUMAN RESOURCE DEVELOPMENT,UNSTARRED,1042.0,SHRI NATUJI HALAJI THAKOR,CENTRAL GRANTS TO STATES UNDER SSA,"(a) whether the Central grants have been spent by the Ministry towards various States under the sharing pattern of SSA in the years the figures for which are available during the Eleventh Five Year Plan, State-wise and year-wise; (b) the ratio of (a) to GDP in terms of percentage; and (c) whether Government has given priority to the States where education is not found at par in terms of percentage of the budgetary allocation earmarked for girl child education under the SSA pattern during the Eleventh Five Year Plan?","MINISTER OF STATE IN THE MINISTRY OF HUMAN RESOURCE DEVELOPMENT (Dr. D. PURANDESWARI) (a) & (b): The details of State-wise and year-wise Central funding made available to States/ Union Territories during the last three years and percentage of these funds in relation to Gross Domestic Product (GDP) is given in Annexure. (c): Bridging gender and social category gaps in elementary education is one of the goals of Sarva Shiksha Abhiyan (SSA). Consequently, SSA attempts to reach out to girls. The National Programme for Education of girls at Elementary Level (NPEGEL) is a focused intervention under SSA to reach the â<U+0080><U+0098>Hardest to Reachâ<U+0080><U+0099> girls. NPEGEL is implemented in educationally backward blocks, and provides additional support for enhancing girlâ<U+0080><U+0099>s education over and above the investments for girls education through normal SSA interventions. Secondly, the Kasturba Gandhi Balika Vidyalaya (KGBV) provides for setting up residential facilities at upper primary level for girls belonging predominantly to the SC, ST, OBC and Muslim minority community. KGBVs are also set up in educationally backward blocks.",
