publish_date,headline_category,headline_text
20010715,unknown,Nose-job gives Hindu identity a facelift
20010716,city.delhi,Temple sees no harm in hosting clothes sale
20010716,city.hyderabad,Sikh students felicitated
20010716,city.hyderabad,Plea to provide land for church in KPHB colony
20010716,city.lucknow,Dalit Muslims demand quota
20010717,india,SC notice to UP; CBI in Ayodhya case
20010717,india,Give up rigid stand on Kashmir: RSS tells Pak
20010718,city.delhi,Joshi blames Cong for Ayodhya tangle
20010718,city.delhi,BJP; Sangh relieved at summit failure
20010718,city.thiruvananthapuram,Cruelty to animals rife in the name of religion
20010718,city.thiruvananthapuram,Temple feeds elephants in ritual
20010719,city.lucknow,Minister seeks help of religious heads
20010719,city.mumbai,SP objects to branding of Muslims as ISI agents
20010719,unknown,Security tightened after attack on mosque
20010720,city.lucknow,Muslim forum chief blasts Lucknow SSP
20010721,city.mumbai,Muslim organisations flay Rane
20010722,city.lucknow,Accused in priest attack case linked with terrorist outfits
20010722,unknown,A Muhajir's Prayer
20010723,india,Sangh Parivar goes soft on NDA Govt
20010723,india,Ram temple construction to begin in March
20010724,city.kolkata,Police rescue Sikh pilgrims at station
20010725,india,Justice Ahmadi cautions Muslims against turning into vote-bank
20010726,city.ahmedabad,Umta residents seek custody of Jain temple
20010726,city.bengaluru,'Hinduism is firmly rooted in the present'
20010726,unknown,UK Hindu youths' quest to find roots
20010727,city.hyderabad,Church members object to commercial complex
20010727,city.mumbai,Muslim Congress workers cross over to NCP
20010727,india,Further hearings in Ayodhya cases on Aug 27
20010727,india,SC notice to govt on polygamy among Muslims
20010727,india,No talks till terrorism stops; RSS tells govt
20010728,city.bengaluru,'Hinduism is firmly rooted in the present'
20010729,city.bengaluru,God's little acre
20010729,city.bengaluru,Christians' plea against bill on conversions
20010729,india,Abducted RSS men killed in Tripura
20010731,city.bengaluru,RSS men from over 22 countries meet in Bangalore
20010731,city.chandigarh,Sikh leaders welcome change in definition of Sikh voter
20010731,india,Gujjars; Muslims reach pact in Asind; idol removed
20010731,unknown,Passions high after Israel's temple raid
20010801,city.bengaluru,'Govt playing favourites with temples'
20010801,city.patna,World Heritage site status for Bodh Gaya temple
20010801,city.patna,World heritage status for Bodh Gaya Temple
20010801,india,Abdullah hits out at RSS; VHP; hints at early polls
20010802,city.kolkata,'Thank God; uncle is back'
20010802,city.lucknow,Ayodhya case hearing on Sept 4
20010802,city.mumbai,Azmi courts arrest with party workers on Mosque issue
20010802,india,UNESCO enquires about Mahabodhi Temple
20010802,india,Naga Hoho; church to work jointly for peace
20010804,india,Why is the Sangh quiet on UTI scam?
20010805,city.ahmedabad,Gangster involved in temple theft held
20010805,city.bengaluru,Temple officials urged to seek consent for using mikes
20010805,city.chandigarh,Sikh society to send pilgrims to Pak
20010805,city.chandigarh,School penalises Sikh boy for haircut
20010805,city.lucknow,RSS demands President's rule in J&K
20010805,city.lucknow,Acquired Ayodhya land to get a face lift
20010806,city.ahmedabad,Jaitley releases RSS book
20010806,city.ahmedabad,Gangster involved in temple theft held
20010806,city.bengaluru,City pilgrims relive trip to abode of gods
20010806,city.hyderabad,RSS workers take out rally against terrorists
20010806,city.kolkata,Controversy over Trinamul MLA attending RSS function
20010806,city.kolkata,Jyoti Basu on Hindu militant hit-list
20010806,india,Muslim League leader detained in Kashmir
20010807,city.kolkata,Controversy over Trinamul MLA attending RSS meet
20010807,india,Threats to blow up Ayodhya temple: Bajrang
20010807,india,Asylum insanity: Chained; left to god's mercy
20010807,india,RSS flays Centre; Tripura govt over killings of cadres
20010808,city.mumbai,18 Bajrang Dal activists held for attacking priest
20010808,city.mumbai,Union govt has bowed before rebels; says RSS
20010808,city.pune,Bajrang Dal activists arrested over priest attack
20010808,home.sunday-times.deep-focus,Chained; left at god's mercy
20010809,city.bengaluru,Temple plea disposed; govt to resolve dispute
20010809,city.bengaluru,Creating god is their job
20010809,city.bengaluru,'Govt playing favourites with temples'
20010809,city.bengaluru,Rally to press for rights for Christians
20010809,city.delhi,RSS may step in to curb dissidence in city BJP
20010809,india,Anna Hazare begins protest at Yadav Baba temple
20010809,india,'Organiser' not RSS mouthpiece: Vaidya
20010809,india,Every temple is public unless proved otherwise: SC
20010809,india,Ram temple will be national monument: Dalmia
20010810,city.lucknow,ISKON to raise a Rs. 10-crore temple
20010810,city.lucknow,Christ Church College union leader rusticated
20010810,city.mumbai,Attacks on Christian priests on the rise
20010810,unknown,British bid to build bridges with Muslims
20010811,city.bengaluru,Christians want John back in ministry
20010811,entertainment.hindi.bollywood.news,IFFI jury rejects award-winning film for Hindutva slant
20010811,india,Vishwa Dharma Prasar Yaatra to be flagged off tomorrow
20010812,city.ahmedabad,Gujarat's first Sangh pracharak dead
20010812,city.bengaluru,Jaswant-RSS rift evident at RSS camp
20010812,india,Farooq wants panel for upkeep of Valley temples
20010812,india,Tension over alleged desecration of temple
20010812,india,Ayodhya land to get a facelift
20010813,city.bengaluru,Spreading the message of god
20010813,city.chandigarh,Muslims protest against desecration of religious place
20010813,city.hyderabad,Four temple idols stolen
20010813,city.lucknow,Violent protests in Jalalabad as temple door damaged
20010813,city.mumbai,God and I
20010813,india,Bajrang Dal to train youths for temple construction
20010814,india,Dalits denied access to Bhojpur temple
20010815,city.ahmedabad,'Need for different kind of nationalism'
20010815,city.hyderabad,Minister gives 50 pc of mosque aid to Nandyal
20010815,city.mumbai,Christian gathering disrupted
20010815,city.pune,Govt appeasing Muslims: Gadkari
20010815,city.pune,RSS chief urges world peace mission
20010815,unknown,Quiet flows IT tide in God's own country
20010816,city.lucknow,Sikh leader 'robbed' by SI; constables
20010816,city.pune,PMC earmarks major plot for Muslim burial ground
20010816,unknown,Mohd Islam gears ahead
20010817,city.hyderabad,Head priest's term extended for one year
20010817,city.lucknow,Slain LeT militant called on temple trust chief last year
20010817,india,RSS opposes any further autonomy to Kashmir
20010817,unknown,Americans ignorant about Hinduism: Survey
20010817,unknown,Religious freedom curtailed in India; Pak: US panel
20010817,unknown,Spiritual leaders to spread Hindu values
20010818,city.bengaluru,Play god; 'father' a mascot
20010819,city.chandigarh,Priest; servant suspects in Gill's murder
20010819,city.hyderabad,Where prayers are answered
20010819,india,Burnt holy books buried in Pander mosque
20010819,india,RSS; US corporates share success recipe
20010819,india,Abdullah urges Hindu migrants to return home
20010819,india,PM talks tough; wins over RSS
20010819,unknown,AICU criticises attack on priest
20010819,unknown,Another temple theft at Adnem
20010821,city.mumbai,Getting God online
20010821,city.mumbai,GOD AND IbrHe is my friend and philosopher
20010821,city.patna,Muslims resent activities of Qadyani sect
20010821,india,Muslim women slam fatwa on burqa
20010822,city.hyderabad,Training for Sikh youth
20010822,city.pune,All the world's a temple
20010822,india,RSS; church agree on regular dialogue
20010823,city.chandigarh,ASTRO WISEBRTHE DIVINE SCRIPT WRITER
20010823,city.pune,'Sangh considers SIMI an obstacle'
20010824,city.bengaluru,CM urged to protect dalit Christians
20010824,city.chandigarh,Amnesty move anti-Sikh: Ranjit
20010824,city.chandigarh,4 more Hindus killed in Doda
20010824,city.hyderabad,Muslim doctors told to undertake Haj
20010824,city.lucknow,VHP threatens to start temple work
20010824,city.mumbai,RSS opposed to ban on SIMI
20010824,india,VHP's temple agenda set with eye on UP polls
20010824,india,'BJP wanted political mileage from Ayodhya'
20010824,india,Prisoners of a lesser god
20010824,india,Reconstitute minorities panel; demands Christian body
20010824,india,RSS doubts genuineness of Tehelka tapes
20010824,unknown,Cattle worship in Siolim village
20010825,city.delhi,'Drive to spare bonafide religious places'
20010825,city.kolkata,Nationalism at the tip of the nails
20010825,city.lucknow,Split in SP over Muslim leadership
20010825,city.pune,Divine Symphony
20010825,india,SIMI: The other side of RSS
20010825,india,Sikh militant sentenced to death
20010826,city.chandigarh,Dharma; karma pillars of value system: V-C
20010826,city.kolkata,Nationalism at the tip of the nails
20010826,city.mumbai,'In Britain today; the landscape holds as many mosques as churches'
20010826,city.mumbai,Scientists seek marriage of dharma and grey cells
20010826,india,A Muslim 'Brahmin' who loves Ganesha
20010826,india,VHP; BMAC dig in heels over temple
20010827,city.bengaluru,GOD IbrSinging his praises
20010827,city.lucknow,Govt asked not to backtrack on Temple
20010827,city.lucknow,Detaching astrology from Vedas frowned upon
20010827,city.lucknow,Muslim delegations meet PM
20010827,city.lucknow,Cong not averse to temple construction
20010827,city.mumbai,God IbrRhythm Divine
20010827,india,V P Singh to depose before Ayodhya panel
20010827,india,RSS welcomes PM's remarks on Ayodhya
20010827,india,Temple will be built at disputed site: VHP
20010827,india,Temple talks on; PM tells Lok Sabha
20010828,city.lucknow,No polls for Christ Church College students' union
20010828,city.mumbai,'No Ayodhya solution unless guilty are booked'
20010828,city.thiruvananthapuram,Sabarimala temple to open
20010828,hyderabad-times,'I don't believe in giving rishwat to God'
20010828,india,SIMI demands searches in temples
20010828,india,Two priests among 9 killed in J&K
20010829,city.ahmedabad,Christians allegedly attacked in Dahod
20010829,city.lucknow,Detaching astrology from Vedas frowned upon
20010829,city.lucknow,Mulayam asks PM to clarify statement on Ayodhya
20010829,city.pune,City Christians welcome bill to reform divorce law
20010829,india,Attack on Christians in Gujarat alleged
20010829,india,Christian delegation meet Advani
20010830,calcutta-times,Rhythm Divine
20010830,city.hyderabad,Devouts throng Church of Our Lady
20010830,city.lucknow,BJP trying to exploit Hindus' sentiments: BSP
20010830,city.mumbai,A hundred cheers for this 'miracle of God'
20010830,delhi-times,Rhythm Divine
20010830,india,VHP asked to deposit Ayodhya records with Liberhan
20010830,india,8 more held in mosque desecration case
20010830,india,'PM's efforts on Ayodhya will be fruitful'
20010830,india,Submit all records on temple: Panel tells VHP
20010831,city.hyderabad,Muslims clerics flay Farooq's remarks
20010831,india,VHP to target Ram Temple opponents in UP polls
20010831,india,9th century Jain temple unearthed
20010901,city.ahmedabad,Traditional Muslim leaders upstaged by hawkish younger lot
20010901,city.mumbai,Muslim League to field bomb blasts accused in civic polls
20010901,india,Over 300 Hindus killed in Doda in last 7 years
20010901,india,Academics divided on Ayodhya inscription
20010901,india,PM harping on Ayodhya issue: Mulayam
20010901,india,Stone writ could hold key to Ayodhya
20010902,city.ahmedabad,Temple wall ransacked
20010902,city.delhi,V P Singh to depose before Ayodhya panel
20010902,city.mumbai,The gullies of God
20010902,city.patna,Laloo will have to pay for his sins; says betrayed monk
20010902,city.patna,Stone writ could hold key to Ayodhya
20010902,india,Ayodhya will not be a poll issue: Rajnath
20010902,unknown,The angry Sikh
20010902,unknown,Jakhu Hill; God's abode
20010903,city.patna,Commissioner taunts priests as Pitrapaksha begins
20010903,city.pune,Rajnath not to make Ayodhya an election issue
20010903,city.pune,Curfew in Satara after place of worship attacked
20010903,lucknow-times,God is cool; religion is in!
20010903,pune-times,Rhythm divine
20010903,unknown,India says Pakistan misusing Islam
20010904,bangalore-times,For God's sake and for art; preserve these temples
20010904,bangalore-times,The rain gods might not smile
20010904,business.india-business,A-I selloff: On a wing and a prayer
20010904,city.thiruvananthapuram,Hurriyat 'thanks' Sangh Parivar for hartal
20010904,india,Talks on to resolve Ayodhya issue: Shahnawaz
20010904,india,Sangh cadre wanted Jagmohan out
20010904,india,Hearing on Ayodhya case fixed for Sept 26
20010904,unknown,Flying Sikh still unmoved
20010905,city.ahmedabad,Oza gives Hindutva edge to Congress campaign
20010905,city.hyderabad,Kalam on religion's higher purpose
20010905,city.lucknow,CM meets Muslim delegation
20010905,india,'Hindus fleeing persecution in Pak'
20010905,unknown,Christians open to cremations; but most not willing to opt for it
20010906,city.patna,Commissioner taunts priests as Pitrapaksha begins
20010906,hyderabad-times,Divine Inspiration
20010907,city.bengaluru,Muslims want security at Srirangapatna Gumbaz relaxed
20010907,city.kolkata,Scared civic body prays to rain god
20010907,india,SC asks Muslim woman to approach Parliament on talaq
20010908,city.bengaluru,Gang attempts to loot temple
20010908,city.kolkata,'Mother requested for special exorcism prayer'
20010908,city.kolkata,Kolkata Muslims condemn burqa diktat
20010908,city.thiruvananthapuram,VHP flays Christians; Left to attack Antony
20010908,india,Cave temple discovered near Amarnath shrine
20010908,india,JK non Muslim women ordered to don bindi
20010909,city.hyderabad,SC brings temple lands under endowments department
20010909,city.hyderabad,Inter-state Minister to take on temple land sharks
20010909,city.mumbai,Gold crown of deity stolen from temple
20010909,city.mumbai,'Parties not backing drive to build Ram temple will lose'
20010909,city.mumbai,Devotees throng Mt Mary church to offer prayers
20010909,city.pune,Temple work after March 12
20010909,india,'Saffron' tourism gets divine jolt
20010909,unknown,Ayodhya: leave no stone unearthed
20010910,hyderabad-times,A temple for Krishna
20010910,india,'No talks on to solve Ayodhya tangle'
20010910,india,'Temple construction to begin on March 12; 2002'
20010910,india,RSS won't play opposition role: Vaidya
20010911,city.bengaluru,Assault on RSS man: MLA warns cops
20010911,city.chandigarh,Morcha launches dharma campaign
20010911,city.hyderabad,Forcing women to wear burqa against Islam; say scholars
20010911,india,3 Christians held for proselytising
20010911,india,73 tribals reconvert to Hinduism
20010911,india,ABVP burns Christian booklets in Bengal
20010912,bombay-times,'God saved my daughter'
20010912,city.hyderabad,Govt plans to regularise illegal occupation of temple lands
20010912,city.patna,Issue of Mahabodhi temple management leadership in a fix
20010912,india,RSS chief condemns attack on USA
20010912,unknown,Religion not a issue with youth
20010913,city.ahmedabad,Togadia urges Hindus to back US
20010913,city.lucknow,Muslim youth celebrate attacks in US
20010913,city.lucknow,Idols worth crores stolen from Jhansi temple
20010913,city.pune,RSS leaders to meet bishops
20010913,cricket,Sachin is a demi-god; says cricket board
20010913,india,Don't link Islam with terrorism: Envoys
20010913,india,BJP not to make Ayodhya poll issue in UP
20010913,india,All religion prayer meeting US attack victims
20010913,pune-times,Al Pacino's brush with God
20010913,unknown,Attacks on Sikhs reported
20010913,unknown,Christian youth performs Ganesh pooja
20010914,bangalore-times,Bollywood on tenterhooks: Oh God; it's Friday
20010914,city.ahmedabad,Togadia urges Hindus to back US
20010914,city.ahmedabad,Reprisal fear for Muslims relatives in US
20010914,city.bengaluru,Kin of Wipro staff seek divine succour
20010914,city.bengaluru,Kashmiri Hindus observe 'martyrdom day'
20010914,city.bengaluru,Villagers refuse to give up on rain gods
20010914,city.lucknow,JD(U) youth flay Hindu bodies
20010914,unknown,Indian embassy condemns attacks on Sikhs
20010914,unknown,Sporadic violence against ethnic minorities
20010915,calcutta-times,God & I: Sonali
20010915,city.ahmedabad,Muslims feel relatives in the US fear reprisal
20010915,city.ahmedabad,Prisoners of God in chains at Mehsana shrine
20010915,city.chandigarh,Akal Takht priests appeal to UNO for peace
20010915,city.hyderabad,Muslims angry with attackers
20010915,entertainment.hindi.bollywood.news,Naseeruddin Shah finds the idea of inviting religious leaders for the screening of Dharam Sankat Mein absurd
20010915,india,VHP to intensify Ram temple movement from Monday
20010915,india,Hindu groups protest Shahi Imam's remarks
20010915,india,Construction of Ram temple on March 12; 2002: Singhal
20010915,unknown,NY Sikhs mount $100;000 ad campaign
20010916,city.pune,Backlash in US worries city Sikhs
20010916,india,Badal meets PM over attacks on Sikhs in US
20010916,india,Sikh leaders angry and stunned over attacks
20010916,unknown,Sikh shot dead in Arizona
20010917,city.delhi,NY Sikhs mount $100;000 ad campaign
20010917,city.thiruvananthapuram,Church ransacked; miscreants at large
20010917,city.thiruvananthapuram,Church ransacked near Kannur
20010917,home.education,A way to be united with God
20010917,india,VHP gears up for Ram temple
20010917,india,US assures safety of Sikhs
20010917,unknown,Revenge motive studied in Sikh's killing
20010917,unknown,Attack on Sikhs a crime: US
20010917,unknown,Sikh attacks deliberate
20010917,unknown,Sikhs assaulted in Britain
20010917,unknown,UK Sikhs face backlash; launch campaign
20010918,city.delhi,Shahi Imam warns against aiding US
20010918,city.delhi,Prayer meet over attack on Sikhs
20010918,city.hyderabad,Narendra draws parallel with Telangana to temple
20010918,city.hyderabad,Muslim body office-bearers
20010918,city.kolkata,Dalai Lama joins prayer for peace at Mother's House
20010918,india,Attack on US a divine wrath: Jama Masjid imam
20010918,unknown,Shahi Imam is a threat to India
20010918,unknown,Religious parties in Pak vow support for Taliban
20010919,city.ahmedabad,Christian priest; others 'attacked' in Kheda
20010919,city.chandigarh,Protest against Sikhs in US
20010919,city.chandigarh,Jelousy; lumpen elements behind attacks on Sikh
20010919,city.chandigarh,Ensure safety of Sikhs: Talwandi
20010919,city.hyderabad,SIO concerned over threats to Muslims in US
20010919,city.hyderabad,1;000-year old temples to be renovated
20010919,city.hyderabad,Most desired place for religious events
20010919,city.kolkata,Chinese & Tibetans unite in prayer
20010919,city.lucknow,Christian missionaries thrashed at BHU
20010919,city.patna,Lankan priest's anniversary celebrated
20010919,india,Islam cannot be equated with terrorism: Jaswant
20010919,unknown,Prayers for victims of US terrorist attacks
20010919,unknown,Blaming Islam for attacks is ludicrous: Blair
20010920,bombay-times,'Terrorism will destroy Islam'
20010920,city.delhi,Attack not linked to Islam: US envoy
20010920,city.delhi,Three murdered inside temple
20010920,city.delhi,Two priests; helper found murdered
20010920,city.delhi,For Sikhs; history repeats itself
20010920,city.lucknow,City Muslims blame it on USA
20010920,city.thiruvananthapuram,Puri seer visits Guruvayur temple
20010920,delhi-times,Oh God; it's Friday: Bollywood on tenterhooks
20010920,unknown,London eveninger apologises to Sikhs
20010921,city.kolkata,Muslims divided over prayer
20010921,city.patna,'India not anti-Muslim'
20010921,unknown,Temple in Canada burnt to the ground
20010922,city.delhi,Shahi Imam assails Musharraf
20010922,delhi-times,God Bless America. And The World
20010922,unknown,This mosque stands apart
20010922,unknown,Bush assures protection to Sikhs
20010923,city.hyderabad,TRS to adopt RSS practices
20010923,city.kolkata,THE URDU PRESS: Muslims want peace; not war
20010923,city.mumbai,Islam not linked to terrorism: Liberals
20010923,lucknow-times,Patriotism; yes. Nationalism via the classroom? Well ..
20010923,unknown,Pope calls for religious tolerance
20010924,bombay-times,PRIME SPACEbrDancing with gods grace
20010924,city.mumbai,Liberals upset on terrorism being linked to Islam
20010924,india,RSS for speedy legal disposal of temple issue
20010924,india,Terrorism not linked to any country or religion: Joshi
20010924,pune-times,Meet to showcase 'God's own country'
20010924,unknown,Rare artefacts lie unguarded in Morni temple
20010924,unknown,Pak Christians fear for their safety
20010925,city.chandigarh,Bleak days for Sikh ultras in Pak
20010925,city.lucknow,BJP cautions Muslims against SIMI
20010925,city.patna,Muslims decry 'move' against Taliban
20010925,city.pune,Centre urged to clear all hurdles over Ram temple
20010925,pune-times,Dancing with God's grace
20010925,unknown,May God be with Pak: Mubarak
20010926,city.bengaluru,Muslim ministers petition CM for board berth
20010926,india,HC fixes Oct 8 for further hearing on Ayodhya case
20010926,india,'Mosque can't be built in temple complex'
20010926,india,Punjab temple project wins UNESCO heritage award
20010926,unknown,Muslim groups clash in Aquem
20010927,calcutta-times,'It is as if God makes me dance'
20010927,city.ahmedabad,Somnath temple renovation yatra flagged off
20010927,city.chandigarh,SGPC sends letter on safety of Sikhs
20010927,city.chandigarh,Jaswant assures Sikhs of safety in US
20010928,calcutta-times,'Jawlines and temples are focus points'
20010928,city.delhi,Dikshit turns to God on CNG
20010928,city.lucknow,Ban on SIMI untimely: Muslim leadership
20010928,city.lucknow,Cong plays Muslim card;promises reservations
20010928,city.lucknow,Muslim leaders decry ban on SIMI
20010928,delhi-times,Dancing with God's grace
20010928,india,'Muslim women cannot invoke CrPC for alimony'
20010928,lucknow-times,Dancing with god's grace
20010928,unknown,FBI finds prayer book; checklist in Atta's luggage
20010929,city.ahmedabad,Somnath temple renovation yatra flagged off
20010929,city.chandigarh,Mann seeks ban on VHP; RSS
20010929,city.kolkata,RELIGION: Angels in heaven and earth below
20010929,city.kolkata,SIMI: A threat to moderate Muslims
20010929,city.lucknow,VHP intensifies temple movement
20010929,city.lucknow,JDU leader finds SIMI; Hindu outfits similar
20010929,city.thiruvananthapuram,SIMI blames Sangh Parivar for ban
20010929,city.thiruvananthapuram,SIMI cannot be compared to Hindu outfits: BJP
20010929,india,Geelani terms ban on SIMI as attack on Islam
20010929,india,PM reassures Muslims over SIMI ban
20010929,unknown,Our prayers have failed; say TADA detenus' kin
20010929,unknown,Fight against terrorism; not Islam: Blair
20010930,city.bengaluru,Our prayers have failed; say TADA detenus' kin
20010930,city.bengaluru,Brothers bludgeon fellow priest
20010930,city.chandigarh,Prized temple restoration tempts controversy
20010930,city.chandigarh,Sikh bodies oppose ban on SIMI
20010930,city.chandigarh,Demolition of temple wall sparks violence
20010930,city.hyderabad,Meet on religion and nation-building held
20010930,city.lucknow,VHP intensifies temple movement
20010930,city.patna,Danapur churches mute witness of good; bad times
20010930,india,No need for ban on Bajrang Dal: RSS
20010930,india,11;000 Muslims have died in J&K violence
20010930,india,LEGAL VIEWbrDivorce Act gives a raw deal to Muslim women
20010930,india,Inquiry initiated into activities of RSS; VHP
20010930,unknown,New church built at Ribandar
20010930,unknown,Dancing with God's grace
20011001,city.chandigarh,After protests; construction of temple resumes
20011001,city.delhi,No need for ban on Bajrang Dal: RSS
20011001,city.delhi,Divorce Act gives a raw deal to Muslim women
20011001,city.hyderabad,Meet on religion and nation-building held
20011001,city.kolkata,'War on Afghans is war on Islam'
